DATE,GENDER,GRADE,REGION
31,Female,9.0,Kashkadarya
31,Male,11.0,Namangan
31,Female,11.0,Karakalpakistan
31,Male,11.0,Samarkand
31,Male,10.0,Kashkadarya
31,Male,10.0,Khorazm
31,Female,11.0,Sirdarya
31,Male,11.0,Andijan
31,Female,10.0,Namangan
31,Male,11.0,Andijan
31,Male,11.0,Khorazm
31,Female,10.0,Surkhandarya
31,Female,Freshman,Bukhara
31,Female,10.0,Samarkand
31,Male,Freshman,Tashkent city
31,Female,9.0,Tashkent region
31,Male,10.0,Kashkadarya
31,Female,11.0,Tashkent city
31,Male,11.0,Khorazm
31,Male,10.0,Samarkand
31,Male,10.0,Tashkent city
31,Female,10.0,Kashkadarya
31,Female,Junior,Tashkent city
31,Male,9.0,Kashkadarya
31,Female,11.0,Jizzakh
31,Female,10.0,Namangan
31,Female,10.0,Kashkadarya
31,Male,10.0,Andijan
31,Female,Senior,Namangan
31,Male,10.0,Karakalpakistan
31,Male,9.0,Karakalpakistan
31,Female,10.0,Tashkent city
31,Female,Senior,Tashkent city
31,Female,9.0,Karakalpakistan
31,Female,9.0,Bukhara
31,Female,11.0,Tashkent region
31,Male,Freshman,Samarkand
31,Female,Senior,Tashkent city
31,Male,11.0,Khorazm
31,Male,10.0,Tashkent region
31,Male,Freshman,Namangan
31,Male,11.0,Tashkent region
31,Male,9.0,Khorazm
31,Female,Junior,Samarkand
31,Female,Freshman,Samarkand
31,Female,9.0,Fergana
31,Female,Senior,Samarkand
31,Male,9.0,Tashkent region
31,Female,9.0,Sirdarya
31,Male,10.0,Khorazm
31,Male,10.0,Navoi
31,Male,9.0,Andijan
31,Male,Freshman,Bukhara
31,Male,10.0,Fergana
31,Female,Sophomore,Kashkadarya
31,Male,9.0,Khorazm
31,Female,11.0,Samarkand
1,Male,10.0,Navoi
1,Female,Sophomore,Bukhara
1,Male,9.0,Fergana
1,Female,11.0,Namangan
1,Female,9.0,Samarkand
1,Male,10.0,Tashkent region
1,Female,11.0,Kashkadarya
1,Female,Freshman,Tashkent region
1,Female,9.0,Tashkent region
1,Female,10.0,Namangan
1,Female,9.0,Tashkent region
1,Female,Junior,Kashkadarya
1,Male,9.0,Andijan
1,Male,10.0,Surkhandarya
1,Female,11.0,Kashkadarya
1,Male,10.0,Andijan
1,Male,10.0,Kashkadarya
1,Male,10.0,Tashkent region
1,Female,9.0,Fergana
1,Female,11.0,Kashkadarya
1,Female,11.0,Khorazm
1,Male,11.0,Andijan
1,Male,10.0,Tashkent region
1,Female,9.0,Tashkent region
2,Male,9.0,Jizzakh
1,Male,10.0,Tashkent city
1,Male,9.0,Tashkent city
1,Male,10.0,Khorazm
1,Male,9.0,Tashkent region
2,Female,Freshman,Surkhandarya
2,Female,Sophomore,Tashkent city
2,Female,9.0,Tashkent city
2,Male,11.0,Tashkent region
2,Female,9.0,Fergana
2,Female,9.0,Fergana
2,Male,9.0,Fergana
2,Female,11.0,Tashkent region
2,Male,10.0,Andijan
2,Female,11.0,Tashkent region
2,Female,9.0,Tashkent region
2,Male,9.0,Tashkent region
2,Male,9.0,Tashkent region
2,Female,10.0,Tashkent region
2,Female,9.0,Khorazm
2,Female,10.0,Navoi
2,Female,Freshman,Tashkent region
2,Female,Junior,Tashkent city
2,Female,11.0,Andijan
2,Male,10.0,Fergana
2,Female,10.0,Kashkadarya
2,Female,9.0,Tashkent region
2,Female,10.0,Tashkent region
2,Female,11.0,Fergana
2,Male,9.0,Fergana
2,Female,11.0,Tashkent region
2,Female,10.0,Fergana
2,Female,9.0,Khorazm
2,Male,Freshman,Samarkand
2,Female,11.0,Andijan
2,Female,Junior,Kashkadarya
2,Male,10.0,Tashkent city
2,Female,9.0,Fergana
2,Female,9.0,Samarkand
2,Female,10.0,Andijan
2,Female,11.0,Karakalpakistan
2,Female,11.0,Khorazm
2,Female,10.0,Fergana
2,Male,Sophomore,Andijan
2,Female,Sophomore,Khorazm
2,Female,9.0,Kashkadarya
2,Female,10.0,Khorazm
2,Female,10.0,Tashkent city
2,Female,10.0,Kashkadarya
2,Female,11.0,Jizzakh
2,Female,11.0,Jizzakh
2,Male,10.0,Tashkent city
2,Male,9.0,Namangan
2,Male,9.0,Andijan
2,Male,9.0,Namangan
2,Male,10.0,Tashkent city
2,Female,9.0,Tashkent city
2,Male,9.0,Surkhandarya
2,Male,10.0,Khorazm
2,Female,9.0,Khorazm
2,Male,Junior,Fergana
2,Female,10.0,Fergana
2,Male,9.0,Tashkent region
2,Female,10.0,Tashkent region
2,Male,10.0,Surkhandarya
2,Male,10.0,Andijan
2,Female,Junior,Fergana
2,Male,9.0,Tashkent city
